deck1,deck2,deck3,deck4,outcome
205,294,301,141,4
321,241,205,303,4
303,321,164,241,0
100,72,164,58,3
278,164,164,262,4
94,185,345,267,4
164,94,164,60,4
241,345,278,147,4
276,60,262,185,4
276,94,278,272,4
185,310,147,164,0
303,224,185,187,4
214,197,164,159,4
164,147,87,185,0
164,164,303,75,4
303,188,164,277,4
188,197,87,318,1
164,185,54,78,1
152,326,164,164,2
164,303,164,164,3
147,54,192,159,2
326,164,303,243,1
75,214,164,192,4
164,164,164,159,0
303,67,243,188,3
305,164,205,264,2
318,303,321,321,2
305,164,205,321,2
303,264,224,303,3
241,303,303,205,4
290,164,303,318,1
205,305,164,303,3
337,147,310,241,2
211,321,157,185,2
60,241,147,243,1
310,303,321,241,4
243,60,310,159,0
147,241,157,295,1
164,243,321,147,4
243,337,241,310,2
159,243,310,164,3
303,241,321,164,1
164,294,232,326,4
141,243,303,142,2
321,267,214,343,0
321,232,84,141,1
164,214,104,94,0
326,267,41,241,1
60,303,303,164,4
267,303,294,42,4
321,230,326,301,1
273,94,303,41,3
42,164,61,232,4
104,321,164,60,1
243,303,343,326,2
301,273,141,321,0
61,321,84,230,0
241,41,42,232,2
321,294,321,185,0
239,188,115,303,0
321,164,61,164,4
276,276,147,164,3
276,305,58,128,4
110,185,305,164,1
147,241,188,321,2
276,147,115,214,1
298,303,321,78,0
147,185,164,276,4
110,128,214,298,1
58,164,188,276,4
61,321,115,303,4
241,214,294,303,3
321,298,276,239,4
164,303,164,305,1
185,78,147,61,0
241,115,164,58,3
303,214,276,321,0
185,276,58,298,1
128,147,276,164,0
83,310,61,337,1
219,183,340,118,3
283,305,160,147,1
164,164,164,113,4
58,185,67,321,4
164,75,121,188,1
141,283,158,303,1
67,303,164,164,2
230,310,164,185,1
72,303,164,58,3
321,113,158,75,3
283,183,326,283,0
303,188,340,243,3
118,183,164,147,4
283,243,164,310,4
321,183,164,305,4
113,147,61,185,3
164,160,67,164,2
303,83,230,183,0
340,267,158,141,2
185,283,303,118,1
75,67,305,310,1
158,337,58,164,2
164,147,164,188,0
183,61,164,219,0
303,141,183,160,1
164,118,67,321,2
310,58,75,164,1
283,243,58,67,2
60,267,147,44,2
244,276,164,243,4
318,159,147,78,4
147,141,188,164,4
188,192,283,305,2
303,47,287,110,1
287,164,243,138,4
243,147,283,303,2
267,164,47,147,0
195,164,138,141,2
244,164,61,287,0
188,243,246,159,0
164,164,147,147,4
283,267,61,164,3
47,78,303,244,2
138,147,147,188,4
303,164,147,243,3
243,110,164,246,0
164,344,188,276,3
287,318,195,147,1
159,243,164,303,0
287,303,243,60,3
267,303,110,303,3
147,188,188,243,1
243,138,283,47,0
141,147,344,164,3
276,147,211,78,4
305,164,147,318,3
283,243,243,243,0
303,164,283,267,1
164,267,297,44,4
256,169,310,205,2
267,301,241,187,3
205,44,211,305,3
5,310,164,283,4
305,232,243,310,4
18,44,5,241,2
169,283,297,187,3
147,267,305,18,4
169,241,164,232,1
243,5,187,205,3
283,44,301,256,1
305,310,243,232,1
164,321,303,60,0
141,147,18,157,1
290,241,147,243,1
246,33,234,337,2
294,304,192,321,0
243,241,18,243,0
321,241,190,224,1
234,304,290,78,1
164,157,243,18,4
243,241,141,246,0
8,303,243,294,2
60,321,243,326,0
78,60,294,234,0
190,321,243,243,4
157,164,321,321,0
337,290,78,8,1
243,241,246,149,1
78,304,243,164,4
18,224,147,326,4
33,141,60,321,1
243,192,234,147,0
8,246,243,321,2
243,141,243,157,0
164,241,243,243,1
272,203,94,142,1
272,276,297,241,2
297,303,267,59,0
147,276,267,142,1
297,36,147,75,4
267,147,241,147,0
142,96,303,272,1
59,75,276,203,4
303,164,147,94,2
188,337,147,303,2
157,243,243,267,3
283,110,303,304,2
147,232,97,13,0
147,337,321,143,3
243,164,197,183,0
267,303,283,243,1
243,143,147,281,0
78,164,242,147,3
337,303,283,303,2
304,303,147,321,0
283,97,220,244,4
305,185,304,13,4
244,303,243,94,4
303,147,243,337,4
183,188,147,157,1
13,147,267,287,3
185,164,243,244,0
337,94,283,337,0
303,143,303,147,3
287,164,310,337,1
205,13,164,303,1
305,267,283,97,1
243,197,78,110,4
243,281,303,281,0
147,243,287,164,2
305,164,18,264,4
241,110,243,188,4
303,147,287,276,0
241,287,241,128,2
344,321,164,155,2
18,188,243,108,3
203,267,305,241,1
142,241,110,164,4
188,264,188,303,1
128,287,164,303,4
283,287,321,303,3
164,303,108,241,4
155,241,267,264,2
110,188,287,305,4
164,188,303,203,1
241,128,18,142,0
241,155,303,188,0
188,147,108,241,0
110,267,276,164,4
203,241,264,287,1
164,188,321,128,1
142,243,305,303,2
241,276,305,188,4
303,303,241,188,1
243,267,188,164,1
164,147,18,287,0
283,155,203,128,2
164,303,303,187,4
321,87,188,60,0
322,149,290,321,0
337,183,243,78,0
243,304,164,185,2
78,283,303,188,4
321,243,321,267,3
149,337,67,297,3
185,60,164,290,2
297,321,78,322,4
87,267,283,337,0
243,290,67,243,4
322,67,164,87,2
303,243,185,297,0
290,183,321,283,1
321,188,337,243,1
164,305,141,241,2
321,175,147,164,4
203,164,110,303,2
141,164,185,147,1
94,164,269,243,4
232,241,147,110,2
164,243,267,164,1
123,141,310,321,2
232,306,272,305,2
164,310,298,164,1
147,243,203,310,0
60,269,44,164,0
141,241,267,94,2
110,147,164,164,2
303,185,164,164,0
164,164,321,232,3
255,232,298,318,1
321,147,157,164,3
243,267,60,272,0
232,164,141,310,4
164,164,127,232,4
44,203,241,164,1
276,310,110,147,4
164,321,255,157,4
321,298,141,318,0
303,147,339,164,4
127,243,141,321,3
310,110,203,185,2
164,147,267,164,3
188,303,321,147,4
241,188,267,318,2
164,164,164,339,3
321,164,243,232,2
243,203,232,272,2
243,232,339,267,0
243,267,200,164,4
200,305,58,147,4
211,283,96,18,1
147,164,147,141,4
328,232,303,78,3
138,227,321,138,0
192,84,44,264,2
243,344,301,303,0
185,94,164,164,4
294,232,321,267,0
13,305,179,138,2
243,164,272,164,0
305,18,205,241,4
267,164,45,344,2
321,303,214,188,3
2,73,241,179,1
147,188,241,147,1
283,188,179,192,1
138,243,188,45,4
303,78,135,264,2
294,200,164,73,3
267,164,147,44,2
147,164,305,243,1
18,147,305,147,3
147,241,94,200,0
303,18,118,18,1
147,258,214,303,0
303,344,243,328,2
321,13,147,272,1
138,120,203,344,0
138,303,94,179,0
321,305,243,192,1
164,310,84,321,4
164,301,227,164,0
18,303,147,164,1
164,164,147,303,4
188,135,188,147,4
232,147,303,164,4
267,264,164,18,4
243,232,147,243,0
147,164,147,164,4
138,243,138,303,1
78,305,36,294,1
164,138,44,192,0
283,164,301,13,3
310,164,241,179,4
164,18,305,164,4
44,147,94,147,3
243,164,200,185,4
118,164,267,205,3
303,241,147,305,3
147,264,269,164,3
141,272,301,94,4
344,18,164,243,3
303,303,267,18,4
135,243,147,232,4
164,45,267,188,1
164,188,303,243,4
73,147,264,305,4
305,164,164,164,3
164,141,164,18,4
243,321,321,164,0
44,294,303,283,2
36,241,138,164,4
301,192,78,310,2
185,321,305,164,3
164,164,200,18,0
120,94,141,243,0
267,147,303,84,1
272,164,44,147,1
301,267,58,241,1
164,241,264,2,0
164,344,147,241,4
164,264,164,164,4
232,305,243,164,4
164,73,205,188,4
147,303,13,147,4
147,120,164,141,4
267,164,138,164,4
138,147,305,267,4
18,179,36,164,2
241,138,321,283,0
192,164,294,211,2
118,84,44,164,2
58,303,344,267,4
96,264,272,303,1
45,243,188,303,3
135,73,305,13,1
243,73,78,303,3
303,141,164,147,0
37,133,13,185,3
164,303,141,243,0
115,164,192,147,2
58,305,243,211,1
185,164,192,305,0
141,164,164,267,4
164,243,323,78,0
141,321,267,32,4
185,243,342,164,0
147,69,310,267,0
337,321,342,344,1
87,303,303,164,4
58,321,147,303,3
241,141,87,255,0
164,318,69,185,0
78,310,188,243,4
164,344,243,267,4
164,306,241,321,4
147,185,321,164,0
303,267,342,188,0
32,87,243,243,4
323,344,147,318,1
344,303,147,241,0
306,134,78,303,4
232,321,337,342,0
267,342,164,164,1
267,32,58,185,1
241,32,342,303,4
232,87,306,344,1
134,69,321,321,1
267,342,303,318,2
188,164,58,164,3
241,87,78,134,0
164,37,164,188,0
141,185,211,303,1
141,321,164,78,0
157,267,164,243,1
164,267,185,141,3
303,149,303,321,2
342,232,164,321,3
78,219,188,183,2
301,306,243,18,0
321,303,303,188,1
321,149,301,78,1
18,183,321,342,2
232,219,303,306,4
164,321,219,303,4
303,232,183,301,1
306,342,321,149,0
188,18,321,303,3
303,321,303,164,0
58,337,164,185,1
147,188,243,164,3
164,243,241,321,1
94,44,44,246,1
301,206,94,67,4
321,339,44,67,4
339,164,183,331,1
243,135,85,214,1
337,305,303,157,2
337,241,310,157,3
75,228,169,87,3
303,337,183,243,2
164,157,228,337,2
75,135,267,305,4
337,169,214,169,1
110,58,331,94,3
87,169,303,135,2
94,164,290,157,3
58,183,85,333,2
169,157,331,241,0
157,228,169,58,0
94,85,303,75,0
333,135,169,164,3
337,290,110,337,3
94,87,164,135,3
85,228,303,214,0
157,169,85,135,0
187,78,94,321,4
263,307,252,200,4
223,313,307,346,0
320,1,329,263,4
263,285,307,329,1
164,106,147,310,4
241,267,241,301,0
321,303,281,243,4
160,243,164,61,2
128,75,243,243,0
164,272,147,241,2
55,183,159,164,4
142,164,147,241,2
164,106,303,118,0
310,243,128,187,3
241,321,164,55,2
183,243,75,267,4
301,243,160,272,3
243,61,241,164,4
164,187,147,147,4
303,241,183,164,2
243,142,55,243,3
